timestamp,voltage5V_v,usb_connected,brick_valid,servo_valid,periph_5V_OC,hipower_5V_OC
25577934,5.127246,0,1,1,0,0
25877934,5.130469,0,1,1,0,0
26177934,5.141748,0,1,1,0,0
26477947,5.128857,0,1,1,0,0
26777934,5.1336913,0,1,1,0,0
27077934,5.1401367,0,1,1,0,0
27377934,5.062793,0,1,1,0,0
27677933,5.136914,0,1,1,0,0
27987934,5.128857,0,1,1,0,0
28287983,5.1353025,0,1,1,0,0
28587934,5.170752,0,1,1,0,0
28887934,5.1755857,0,1,1,0,0
29187945,5.1755857,0,1,1,0,0
29487934,5.1498046,0,1,1,0,0
29787934,5.153027,0,1,1,0,0
30087934,5.1691403,0,1,1,0,0
30387958,5.182031,0,1,1,0,0
30687934,5.165918,0,1,1,0,0
30997934,5.1095214,0,1,1,0,0
31297947,5.1691403,0,1,1,0,0
31597934,5.146582,0,1,1,0,0
31897943,5.1755857,0,1,1,0,0
32197934,5.1626954,0,1,1,0,0
32497934,5.0950193,0,1,1,0,0
32797934,5.128857,0,1,1,0,0
33097934,5.1723633,0,1,1,0,0
33397934,5.1691403,0,1,1,0,0
33697934,5.1723633,0,1,1,0,0
34007946,5.1788087,0,1,1,0,0
34307934,5.1739745,0,1,1,0,0
34607934,5.167529,0,1,1,0,0
34907940,5.1739745,0,1,1,0,0
35207934,5.1788087,0,1,1,0,0
35507947,5.15625,0,1,1,0,0
35807934,5.153027,0,1,1,0,0
36107938,5.143359,0,1,1,0,0
36407934,5.165918,0,1,1,0,0
36707934,5.1691403,0,1,1,0,0
37017934,5.165918,0,1,1,0,0
37317934,5.136914,0,1,1,0,0
37617935,5.1836424,0,1,1,0,0
37917934,5.1691403,0,1,1,0,0
38217945,5.1739745,0,1,1,0,0
38517934,5.1788087,0,1,1,0,0
38817934,5.1739745,0,1,1,0,0
39117934,5.1739745,0,1,1,0,0
39417934,5.170752,0,1,1,0,0
39717973,5.1723633,0,1,1,0,0
40027934,5.170752,0,1,1,0,0
40327934,5.170752,0,1,1,0,0
40627934,5.1788087,0,1,1,0,0
40927934,5.1643066,0,1,1,0,0
41227934,5.146582,0,1,1,0,0
41527941,5.165918,0,1,1,0,0
41827974,5.1739745,0,1,1,0,0
42127934,5.1884766,0,1,1,0,0
42427934,5.1755857,0,1,1,0,0
42727934,5.167529,0,1,1,0,0
43037934,5.1643066,0,1,1,0,0
43337959,5.170752,0,1,1,0,0
43637934,5.177197,0,1,1,0,0
43937942,5.1788087,0,1,1,0,0
44237934,5.1788087,0,1,1,0,0
44537947,5.1208005,0,1,1,0,0
44837934,5.157861,0,1,1,0,0
45137934,5.18042,0,1,1,0,0
45437973,5.1739745,0,1,1,0,0
45737934,5.0966306,0,1,1,0,0
46047934,5.0966306,0,1,1,0,0
46347934,5.141748,0,1,1,0,0
46647934,5.1385255,0,1,1,0,0
46947934,5.15625,0,1,1,0,0
47247945,5.154639,0,1,1,0,0
47547939,5.15625,0,1,1,0,0
47847934,5.128857,0,1,1,0,0
48147934,5.1336913,0,1,1,0,0
48447942,5.1401367,0,1,1,0,0
48747934,5.15625,0,1,1,0,0
49057934,5.1739745,0,1,1,0,0
49357934,5.1691403,0,1,1,0,0
49657934,5.170752,0,1,1,0,0
49957934,5.15625,0,1,1,0,0
50257934,5.1481934,0,1,1,0,0
50557934,5.1481934,0,1,1,0,0
50857934,5.1143556,0,1,1,0,0
51157973,5.1755857,0,1,1,0,0
51457934,5.1594725,0,1,1,0,0
51757934,5.165918,0,1,1,0,0
52067944,5.1788087,0,1,1,0,0
52367934,5.1401367,0,1,1,0,0
52667934,5.170752,0,1,1,0,0
52967935,5.1755857,0,1,1,0,0
53267940,5.1095214,0,1,1,0,0
53567947,5.170752,0,1,1,0,0
53867934,5.1481934,0,1,1,0,0
54167934,5.15625,0,1,1,0,0
54467934,5.1755857,0,1,1,0,0
54767957,5.1739745,0,1,1,0,0
55077934,5.1336913,0,1,1,0,0
55377934,5.153027,0,1,1,0,0
55677938,5.1481934,0,1,1,0,0
55977934,5.1336913,0,1,1,0,0
56277945,5.153027,0,1,1,0,0
56577942,5.151416,0,1,1,0,0
56877973,5.1449704,0,1,1,0,0
57177934,5.146582,0,1,1,0,0
57477933,5.1336913,0,1,1,0,0
57777934,5.103076,0,1,1,0,0
58087934,5.115967,0,1,1,0,0
58987947,5.143359,0,1,1,0,0
59587934,5.1401367,0,1,1,0,0
59887934,5.0660157,0,1,1,0,0
60187934,5.1626954,0,1,1,0,0
60487957,5.104687,0,1,1,0,0
60787934,5.112744,0,1,1,0,0
61097934,5.128857,0,1,1,0,0
61397934,5.1385255,0,1,1,0,0
61697934,5.128857,0,1,1,0,0
61997934,5.153027,0,1,1,0,0
62297934,5.141748,0,1,1,0,0
62597977,5.1208005,0,1,1,0,0
62897942,5.1498046,0,1,1,0,0
63197934,5.141748,0,1,1,0,0
63497934,5.117578,0,1,1,0,0
63797935,5.1208005,0,1,1,0,0
64107934,5.1336913,0,1,1,0,0
64407934,5.143359,0,1,1,0,0
64707938,5.143359,0,1,1,0,0
65007945,5.143359,0,1,1,0,0
65307945,5.1240234,0,1,1,0,0
65607934,5.1208005,0,1,1,0,0
65907934,5.1353025,0,1,1,0,0
66207957,5.1256347,0,1,1,0,0
66507934,5.1111326,0,1,1,0,0
66807934,5.1401367,0,1,1,0,0
67117934,5.128857,0,1,1,0,0
67417934,5.10791,0,1,1,0,0
67717934,5.103076,0,1,1,0,0
68017934,5.130469,0,1,1,0,0
68317941,5.1191893,0,1,1,0,0
68617934,5.143359,0,1,1,0,0
68917935,5.1449704,0,1,1,0,0
69217934,5.1240234,0,1,1,0,0
69517934,5.15625,0,1,1,0,0
69817934,5.1208005,0,1,1,0,0
70127934,5.151416,0,1,1,0,0
70427963,5.1143556,0,1,1,0,0
70727935,5.1594725,0,1,1,0,0
71027934,5.088574,0,1,1,0,0
71327934,5.1191893,0,1,1,0,0
71627958,5.103076,0,1,1,0,0
71927974,5.15625,0,1,1,0,0
72227934,5.151416,0,1,1,0,0
72527962,5.1336913,0,1,1,0,0
72827934,5.1594725,0,1,1,0,0
73137934,5.15625,0,1,1,0,0
73437934,5.167529,0,1,1,0,0
73737933,5.1481934,0,1,1,0,0
74037937,5.1788087,0,1,1,0,0
74337947,5.1498046,0,1,1,0,0
74637932,5.151416,0,1,1,0,0
74947934,5.165918,0,1,1,0,0
75247935,5.0982423,0,1,1,0,0
75547939,5.1788087,0,1,1,0,0
75847934,5.1626954,0,1,1,0,0
76147958,5.182031,0,1,1,0,0
76447934,5.1691403,0,1,1,0,0
76747934,5.136914,0,1,1,0,0
77047934,5.136914,0,1,1,0,0
77347934,5.1481934,0,1,1,0,0
77647972,5.1739745,0,1,1,0,0
77947935,5.157861,0,1,1,0,0
78257934,5.1498046,0,1,1,0,0
78557947,5.1755857,0,1,1,0,0
78857934,5.153027,0,1,1,0,0
79157934,5.1723633,0,1,1,0,0
79457934,5.141748,0,1,1,0,0
79757937,5.165918,0,1,1,0,0
80057934,5.1240234,0,1,1,0,0
80357934,5.1191893,0,1,1,0,0
80657947,5.1353025,0,1,1,0,0
80957934,5.122412,0,1,1,0,0
81267966,5.1691403,0,1,1,0,0
81567934,5.177197,0,1,1,0,0
81867938,5.1481934,0,1,1,0,0
82167934,5.146582,0,1,1,0,0
82467942,5.1498046,0,1,1,0,0
82767944,5.157861,0,1,1,0,0
83067934,5.1788087,0,1,1,0,0
83367971,5.1626954,0,1,1,0,0
83667934,5.1594725,0,1,1,0,0
83967934,5.15625,0,1,1,0,0
84277933,5.127246,0,1,1,0,0
84577934,5.151416,0,1,1,0,0
84877934,5.13208,0,1,1,0,0
85177934,5.165918,0,1,1,0,0
85477973,5.1626954,0,1,1,0,0
85777934,5.1739745,0,1,1,0,0
86077934,5.153027,0,1,1,0,0
86387940,5.1401367,0,1,1,0,0
86687934,5.153027,0,1,1,0,0
86987934,5.1240234,0,1,1,0,0
87287944,5.143359,0,1,1,0,0
87587973,5.1481934,0,1,1,0,0
87887934,5.127246,0,1,1,0,0
88187934,5.112744,0,1,1,0,0
88487934,5.15625,0,1,1,0,0
88787937,5.130469,0,1,1,0,0
89097934,5.170752,0,1,1,0,0
89397934,5.1610837,0,1,1,0,0
89697934,5.1643066,0,1,1,0,0
89997934,5.122412,0,1,1,0,0
90297945,5.153027,0,1,1,0,0
90597934,5.1498046,0,1,1,0,0
90897934,5.1691403,0,1,1,0,0
91197937,5.167529,0,1,1,0,0
91497933,5.146582,0,1,1,0,0
91797933,5.136914,0,1,1,0,0
92107934,5.146582,0,1,1,0,0
92407934,5.165918,0,1,1,0,0
92707934,5.1385255,0,1,1,0,0
93007934,5.165918,0,1,1,0,0
93307972,5.1691403,0,1,1,0,0
93607934,5.1755857,0,1,1,0,0
93907934,5.1498046,0,1,1,0,0
94207934,5.15625,0,1,1,0,0
94507934,5.15625,0,1,1,0,0
94807976,5.1449704,0,1,1,0,0
95117934,5.0950193,0,1,1,0,0
95417934,5.1014647,0,1,1,0,0
95717934,5.1336913,0,1,1,0,0
96017934,5.143359,0,1,1,0,0
96317934,5.1449704,0,1,1,0,0
96617951,5.0660157,0,1,1,0,0
96917973,5.141748,0,1,1,0,0
97217935,5.1256347,0,1,1,0,0
97517934,5.13208,0,1,1,0,0
97817934,5.1385255,0,1,1,0,0
98127934,5.165918,0,1,1,0,0
98427934,5.1498046,0,1,1,0,0
98727934,5.165918,0,1,1,0,0
99027942,5.1610837,0,1,1,0,0
99327945,5.10791,0,1,1,0,0
99627934,5.117578,0,1,1,0,0
99927934,5.146582,0,1,1,0,0
100227939,5.141748,0,1,1,0,0
100527957,5.151416,0,1,1,0,0
100827934,5.167529,0,1,1,0,0
101137947,5.1626954,0,1,1,0,0
101437934,5.127246,0,1,1,0,0
101737934,5.146582,0,1,1,0,0
102037934,5.1498046,0,1,1,0,0
102337934,5.1723633,0,1,1,0,0
102637937,5.15625,0,1,1,0,0
102937934,5.170752,0,1,1,0,0
103237934,5.1449704,0,1,1,0,0
103537934,5.153027,0,1,1,0,0
103837934,5.1723633,0,1,1,0,0
104147934,5.15625,0,1,1,0,0
104447937,5.1691403,0,1,1,0,0
104747958,5.153027,0,1,1,0,0
105047943,5.117578,0,1,1,0,0
105347934,5.157861,0,1,1,0,0
105647951,5.170752,0,1,1,0,0
105947934,5.165918,0,1,1,0,0
106247985,5.15625,0,1,1,0,0
106547934,5.157861,0,1,1,0,0
106847934,5.141748,0,1,1,0,0
107157934,5.151416,0,1,1,0,0
107457933,5.167529,0,1,1,0,0
107757934,5.1626954,0,1,1,0,0
108057934,5.13208,0,1,1,0,0
108357946,5.15625,0,1,1,0,0
108657934,5.1498046,0,1,1,0,0
108957943,5.170752,0,1,1,0,0
109257934,5.167529,0,1,1,0,0
109557934,5.1691403,0,1,1,0,0
109857934,5.1095214,0,1,1,0,0
110167934,5.170752,0,1,1,0,0
110467938,5.1723633,0,1,1,0,0
110767934,5.146582,0,1,1,0,0
111067934,5.1755857,0,1,1,0,0
111367934,5.153027,0,1,1,0,0
111667934,5.1723633,0,1,1,0,0
111967957,5.1788087,0,1,1,0,0
112267934,5.1498046,0,1,1,0,0
112567935,5.1691403,0,1,1,0,0
112867934,5.128857,0,1,1,0,0
113177934,5.177197,0,1,1,0,0
113477934,5.143359,0,1,1,0,0
113777934,5.1723633,0,1,1,0,0
114077969,5.15625,0,1,1,0,0
114377934,5.1208005,0,1,1,0,0
114677949,5.154639,0,1,1,0,0
114977934,5.1449704,0,1,1,0,0
115277934,5.1723633,0,1,1,0,0
115577934,5.1723633,0,1,1,0,0
115877948,5.1336913,0,1,1,0,0
116187958,5.1788087,0,1,1,0,0
116487934,5.136914,0,1,1,0,0
116787934,5.146582,0,1,1,0,0
117087934,5.1353025,0,1,1,0,0
117387945,5.1691403,0,1,1,0,0
117687972,5.1836424,0,1,1,0,0
117987939,5.1755857,0,1,1,0,0
118287934,5.141748,0,1,1,0,0
118587934,5.136914,0,1,1,0,0
118887934,5.1691403,0,1,1,0,0
119197934,5.1353025,0,1,1,0,0
119497934,5.1336913,0,1,1,0,0
119797974,5.1498046,0,1,1,0,0
120097934,5.127246,0,1,1,0,0
120397934,5.15625,0,1,1,0,0
120697934,5.136914,0,1,1,0,0
120997934,5.0901856,0,1,1,0,0
121297934,5.1208005,0,1,1,0,0
121597934,5.0660157,0,1,1,0,0
121897943,5.136914,0,1,1,0,0
122207964,5.1353025,0,1,1,0,0
122507944,5.1691403,0,1,1,0,0
122807934,5.165918,0,1,1,0,0
123107934,5.1385255,0,1,1,0,0
123407972,5.1723633,0,1,1,0,0
123707952,5.1014647,0,1,1,0,0
124007934,5.1691403,0,1,1,0,0
124307934,5.1498046,0,1,1,0,0
124607935,5.153027,0,1,1,0,0
124907934,5.1755857,0,1,1,0,0
125217934,5.1626954,0,1,1,0,0
125517937,5.167529,0,1,1,0,0
125817933,5.1240234,0,1,1,0,0
126117934,5.165918,0,1,1,0,0
126417945,5.1401367,0,1,1,0,0
126717934,5.165918,0,1,1,0,0
127017934,5.146582,0,1,1,0,0
127317934,5.1626954,0,1,1,0,0
127617945,5.154639,0,1,1,0,0
127917934,5.15625,0,1,1,0,0
128227934,5.1353025,0,1,1,0,0
128527934,5.0805173,0,1,1,0,0
128827933,5.146582,0,1,1,0,0
129127956,5.069238,0,1,1,0,0
129427934,5.127246,0,1,1,0,0
129727934,5.127246,0,1,1,0,0
130027934,5.1336913,0,1,1,0,0
130337934,5.1594725,0,1,1,0,0
130637947,5.1014647,0,1,1,0,0
130937934,5.093408,0,1,1,0,0
131237973,5.112744,0,1,1,0,0
131537934,5.1256347,0,1,1,0,0
131837934,5.153027,0,1,1,0,0
132137934,5.1788087,0,1,1,0,0
132437934,5.1191893,0,1,1,0,0
132737953,5.1208005,0,1,1,0,0
133037934,5.146582,0,1,1,0,0
133347957,5.136914,0,1,1,0,0
133647934,5.1610837,0,1,1,0,0
133947934,5.141748,0,1,1,0,0
134247934,5.165918,0,1,1,0,0
134547934,5.1594725,0,1,1,0,0
134847984,5.165918,0,1,1,0,0
135147934,5.165918,0,1,1,0,0
135447945,5.141748,0,1,1,0,0
135747934,5.167529,0,1,1,0,0
136047934,5.112744,0,1,1,0,0
136357933,5.15625,0,1,1,0,0
136657934,5.1336913,0,1,1,0,0
136957978,5.136914,0,1,1,0,0
137257934,5.1626954,0,1,1,0,0
137557934,5.1594725,0,1,1,0,0
137857934,5.122412,0,1,1,0,0
138157935,5.1691403,0,1,1,0,0
138457934,5.141748,0,1,1,0,0
138757934,5.1401367,0,1,1,0,0
139057938,5.1594725,0,1,1,0,0
139367933,5.167529,0,1,1,0,0
139667981,5.1755857,0,1,1,0,0
139967934,5.15625,0,1,1,0,0
140267962,5.167529,0,1,1,0,0
140567988,5.165918,0,1,1,0,0
140867934,5.141748,0,1,1,0,0
141167934,5.153027,0,1,1,0,0
141467934,5.165918,0,1,1,0,0
141777942,5.1739745,0,1,1,0,0
142077934,5.143359,0,1,1,0,0
142377950,5.1691403,0,1,1,0,0
142677937,5.153027,0,1,1,0,0
142977934,5.0869627,0,1,1,0,0
143277934,5.1691403,0,1,1,0,0
143577934,5.157861,0,1,1,0,0
143877934,5.1691403,0,1,1,0,0
144177934,5.18042,0,1,1,0,0
144477950,5.1111326,0,1,1,0,0
144787938,5.1498046,0,1,1,0,0
145087934,5.151416,0,1,1,0,0
145387993,5.143359,0,1,1,0,0
145687934,5.1610837,0,1,1,0,0
145987934,5.15625,0,1,1,0,0
146287959,5.136914,0,1,1,0,0
146587934,5.1401367,0,1,1,0,0
146887934,5.1336913,0,1,1,0,0
147197934,5.1691403,0,1,1,0,0
147497934,5.141748,0,1,1,0,0
147797934,5.1755857,0,1,1,0,0
148097939,5.165918,0,1,1,0,0
148397936,5.0950193,0,1,1,0,0
148697949,5.136914,0,1,1,0,0
148997934,5.1481934,0,1,1,0,0
149307987,5.1401367,0,1,1,0,0
149607934,5.1643066,0,1,1,0,0
149907934,5.128857,0,1,1,0,0
150207934,5.1626954,0,1,1,0,0
150507958,5.143359,0,1,1,0,0
150807934,5.1755857,0,1,1,0,0
151107935,5.167529,0,1,1,0,0
151407949,5.1610837,0,1,1,0,0
151707934,5.165918,0,1,1,0,0
152007957,5.15625,0,1,1,0,0
152317933,5.1788087,0,1,1,0,0
152617934,5.1498046,0,1,1,0,0
152917934,5.151416,0,1,1,0,0
153217934,5.1449704,0,1,1,0,0
153517934,5.1594725,0,1,1,0,0
153817933,5.151416,0,1,1,0,0
154117973,5.146582,0,1,1,0,0
154417934,5.1643066,0,1,1,0,0
154717934,5.1691403,0,1,1,0,0
155017934,5.153027,0,1,1,0,0
155327934,5.167529,0,1,1,0,0
155627947,5.1401367,0,1,1,0,0
155927934,5.1626954,0,1,1,0,0
156227954,5.1788087,0,1,1,0,0
156527934,5.1498046,0,1,1,0,0
156827934,5.1755857,0,1,1,0,0
157127934,5.1498046,0,1,1,0,0
157427934,5.1691403,0,1,1,0,0
157737934,5.127246,0,1,1,0,0
158037934,5.153027,0,1,1,0,0
158337957,5.1498046,0,1,1,0,0
158637934,5.1240234,0,1,1,0,0
158937934,5.1449704,0,1,1,0,0
159237933,5.141748,0,1,1,0,0
159537933,5.0998535,0,1,1,0,0
159837973,5.1208005,0,1,1,0,0
160147934,5.154639,0,1,1,0,0
160447934,5.1498046,0,1,1,0,0
160747934,5.1610837,0,1,1,0,0
161047934,5.1111326,0,1,1,0,0
161347934,5.143359,0,1,1,0,0
161647939,5.1788087,0,1,1,0,0
161947959,5.165918,0,1,1,0,0
162257934,5.1755857,0,1,1,0,0
162557951,5.1723633,0,1,1,0,0
162857933,5.146582,0,1,1,0,0
163157934,5.153027,0,1,1,0,0
163457934,5.141748,0,1,1,0,0
163757934,5.154639,0,1,1,0,0
164057934,5.15625,0,1,1,0,0
164357934,5.1610837,0,1,1,0,0
164657934,5.167529,0,1,1,0,0
164957934,5.143359,0,1,1,0,0
165267991,5.117578,0,1,1,0,0
165567983,5.146582,0,1,1,0,0
165867934,5.1208005,0,1,1,0,0
166167934,5.141748,0,1,1,0,0
166467934,5.151416,0,1,1,0,0
166767934,5.1498046,0,1,1,0,0
167067934,5.115967,0,1,1,0,0
167367982,5.1240234,0,1,1,0,0
167667938,5.0901856,0,1,1,0,0
167967934,5.127246,0,1,1,0,0
168277934,5.1626954,0,1,1,0,0
168577934,5.1240234,0,1,1,0,0
168877934,5.1594725,0,1,1,0,0
169177941,5.170752,0,1,1,0,0
169477934,5.153027,0,1,1,0,0
169777934,5.157861,0,1,1,0,0
170077934,5.1449704,0,1,1,0,0
170377934,5.170752,0,1,1,0,0
170677934,5.15625,0,1,1,0,0
170977934,5.1481934,0,1,1,0,0
171287935,5.1788087,0,1,1,0,0
171587949,5.1755857,0,1,1,0,0
171887934,5.127246,0,1,1,0,0
172187934,5.1594725,0,1,1,0,0
172487934,5.170752,0,1,1,0,0
172787950,5.157861,0,1,1,0,0
173087934,5.1723633,0,1,1,0,0
173387938,5.1449704,0,1,1,0,0
173687947,5.154639,0,1,1,0,0
173987934,5.167529,0,1,1,0,0
174297945,5.1594725,0,1,1,0,0
174597942,5.1401367,0,1,1,0,0
174897934,5.1449704,0,1,1,0,0
175197934,5.167529,0,1,1,0,0
175497934,5.1643066,0,1,1,0,0
175797971,5.157861,0,1,1,0,0
176097934,5.170752,0,1,1,0,0
176397950,5.1401367,0,1,1,0,0
176697934,5.157861,0,1,1,0,0
176997937,5.1336913,0,1,1,0,0
177307933,5.1691403,0,1,1,0,0
177607934,5.1788087,0,1,1,0,0
177907936,5.170752,0,1,1,0,0
178207934,5.082129,0,1,1,0,0
178507934,5.1385255,0,1,1,0,0
178807934,5.1256347,0,1,1,0,0
179107968,5.167529,0,1,1,0,0
179407934,5.177197,0,1,1,0,0
179707934,5.1626954,0,1,1,0,0
180007934,5.1626954,0,1,1,0,0
180317947,5.153027,0,1,1,0,0
180617934,5.1788087,0,1,1,0,0
180917934,5.167529,0,1,1,0,0
181217971,5.177197,0,1,1,0,0
181517934,5.146582,0,1,1,0,0
181817934,5.153027,0,1,1,0,0
182117934,5.151416,0,1,1,0,0
182417934,5.0660157,0,1,1,0,0
182717936,5.1336913,0,1,1,0,0
183017934,5.167529,0,1,1,0,0
183327945,5.1691403,0,1,1,0,0
183627934,5.1626954,0,1,1,0,0
183927934,5.1385255,0,1,1,0,0
184227934,5.151416,0,1,1,0,0
184527934,5.1014647,0,1,1,0,0
184827957,5.167529,0,1,1,0,0
185127934,5.167529,0,1,1,0,0
185427950,5.170752,0,1,1,0,0
185737934,5.1401367,0,1,1,0,0
186037934,5.146582,0,1,1,0,0
186337934,5.15625,0,1,1,0,0
186637934,5.167529,0,1,1,0,0
186937934,5.1788087,0,1,1,0,0
187237934,5.0982423,0,1,1,0,0
187537934,5.1594725,0,1,1,0,0
187837934,5.153027,0,1,1,0,0
188147934,5.1594725,0,1,1,0,0
188447947,5.153027,0,1,1,0,0
188747934,5.1739745,0,1,1,0,0
189047934,5.170752,0,1,1,0,0
189347934,5.1755857,0,1,1,0,0
189647947,5.1626954,0,1,1,0,0
189947934,5.1449704,0,1,1,0,0
190247934,5.1691403,0,1,1,0,0
190547957,5.170752,0,1,1,0,0
190847934,5.165918,0,1,1,0,0
191157934,5.170752,0,1,1,0,0
191457934,5.103076,0,1,1,0,0
191757934,5.15625,0,1,1,0,0
192057934,5.136914,0,1,1,0,0
192357945,5.1626954,0,1,1,0,0
192657934,5.167529,0,1,1,0,0
192957938,5.167529,0,1,1,0,0
193257934,5.165918,0,1,1,0,0
193557934,5.143359,0,1,1,0,0
193857934,5.1594725,0,1,1,0,0
194167947,5.1723633,0,1,1,0,0
194467956,5.165918,0,1,1,0,0
194767934,5.165918,0,1,1,0,0
195067934,5.1691403,0,1,1,0,0
195367934,5.128857,0,1,1,0,0
195667934,5.157861,0,1,1,0,0
195967934,5.154639,0,1,1,0,0
196267958,5.167529,0,1,1,0,0
196567934,5.1723633,0,1,1,0,0
196867934,5.1498046,0,1,1,0,0
197177934,5.1240234,0,1,1,0,0
197477933,5.1095214,0,1,1,0,0
197777934,5.1143556,0,1,1,0,0
198077934,5.117578,0,1,1,0,0
198377934,5.1449704,0,1,1,0,0
198677934,5.115967,0,1,1,0,0
198977934,5.112744,0,1,1,0,0
199277934,5.128857,0,1,1,0,0
199587934,5.170752,0,1,1,0,0
199887947,5.167529,0,1,1,0,0
200187947,5.167529,0,1,1,0,0
200487938,5.15625,0,1,1,0,0
200787934,5.165918,0,1,1,0,0
201087934,5.10791,0,1,1,0,0
201387950,5.1401367,0,1,1,0,0
201687934,5.143359,0,1,1,0,0
201987953,5.153027,0,1,1,0,0
202297933,5.1594725,0,1,1,0,0
202597934,5.1610837,0,1,1,0,0
202897934,5.153027,0,1,1,0,0
203197934,5.1401367,0,1,1,0,0
203497934,5.165918,0,1,1,0,0
203797934,5.1755857,0,1,1,0,0
204097934,5.15625,0,1,1,0,0
204397934,5.136914,0,1,1,0,0
204697934,5.143359,0,1,1,0,0
